id,played,fen,end_of_turn,win,draw,loss,outcome
6225,e3e4,r1b1kbnr/pp1p1p1p/nq6/4p1p1/1pP1P1PP/P6B/3P1P2/RNBQK1NR b KQkq - 0 8,2024-09-27 17:13:13.331626+00,0,0,1,
6226,b6c6,r1b1kbnr/pp1p1p1p/n1q5/4p1p1/1pP1P1PP/P6B/3P1P2/RNBQK1NR w KQkq - 1 9,2024-09-27 17:20:43.451966+00,0.032,0.967,0.001,
6227,b1c3,r1b1kbnr/pp1p1p1p/n1q5/4p1p1/1pP1P1PP/P1N4B/3P1P2/R1BQK1NR b KQkq - 2 9,2024-09-27 17:28:13.514612+00,0,0,1,
6228,g8e7,r1b1kb1r/pp1pnp1p/n1q5/4p1p1/1pP1P1PP/P1N4B/3P1P2/R1BQK1NR w KQkq - 3 10,2024-09-27 17:35:43.646652+00,0.294,0.706,0,
6229,h3f1,r1b1kb1r/pp1pnp1p/n1q5/4p1p1/1pP1P1PP/P1N5/3P1P2/R1BQKBNR b KQkq - 4 10,2024-09-27 17:43:13.692826+00,0,0,1,
6230,b4a3,r1b1kb1r/pp1pnp1p/n1q5/4p1p1/2P1P1PP/p1N5/3P1P2/R1BQKBNR w KQkq - 0 11,2024-09-27 17:50:43.860556+00,0.952,0.048,0,
6231,h1h3,r1b1kb1r/pp1pnp1p/n1q5/4p1p1/2P1P1PP/p1N4R/3P1P2/R1BQKBN1 b Qkq - 1 11,2024-09-27 17:58:13.949874+00,0.014,0.984,0.002,
6232,e7d5,r1b1kb1r/pp1p1p1p/n1q5/3np1p1/2P1P1PP/p1N4R/3P1P2/R1BQKBN1 w Qkq - 2 12,2024-09-27 18:05:44.043044+00,1,0,0,
6233,e4d5,r1b1kb1r/pp1p1p1p/n1q5/3Pp1p1/2P3PP/p1N4R/3P1P2/R1BQKBN1 b Qkq - 0 12,2024-09-27 18:13:14.124694+00,1,0,0,
6234,c6g6,r1b1kb1r/pp1p1p1p/n5q1/3Pp1p1/2P3PP/p1N4R/3P1P2/R1BQKBN1 w Qkq - 1 13,2024-09-27 18:20:44.216412+00,1,0,0,
6235,g1f3,r1b1kb1r/pp1p1p1p/n5q1/3Pp1p1/2P3PP/p1N2N1R/3P1P2/R1BQKB2 b Qkq - 2 13,2024-09-27 18:28:14.23167+00,1,0,0,
6236,a6c5,r1b1kb1r/pp1p1p1p/6q1/2nPp1p1/2P3PP/p1N2N1R/3P1P2/R1BQKB2 w Qkq - 3 14,2024-09-27 18:35:44.318134+00,1,0,0,
6237,f3g5,r1b1kb1r/pp1p1p1p/6q1/2nPp1N1/2P3PP/p1N4R/3P1P2/R1BQKB2 b Qkq - 0 14,2024-09-27 18:43:14.327793+00,1,0,0,
6238,a8b8,1rb1kb1r/pp1p1p1p/6q1/2nPp1N1/2P3PP/p1N4R/3P1P2/R1BQKB2 w Qk - 1 15,2024-09-27 18:50:44.44003+00,1,0,0,
6239,d5d6,1rb1kb1r/pp1p1p1p/3P2q1/2n1p1N1/2P3PP/p1N4R/3P1P2/R1BQKB2 b Qk - 0 15,2024-09-27 18:58:14.575125+00,1,0,0,
6240,g6c2,1rb1kb1r/pp1p1p1p/3P4/2n1p1N1/2P3PP/p1N4R/2qP1P2/R1BQKB2 w Qk - 1 16,2024-09-27 19:05:44.715051+00,1,0,0,
6241,d1c2,1rb1kb1r/pp1p1p1p/3P4/2n1p1N1/2P3PP/p1N4R/2QP1P2/R1B1KB2 b Qk - 0 16,2024-09-27 19:13:14.73071+00,1,0,0,
6242,f8h6,1rb1k2r/pp1p1p1p/3P3b/2n1p1N1/2P3PP/p1N4R/2QP1P2/R1B1KB2 w Qk - 1 17,2024-09-27 19:20:44.773323+00,1,0,0,
6243,g5e6,1rb1k2r/pp1p1p1p/3PN2b/2n1p3/2P3PP/p1N4R/2QP1P2/R1B1KB2 b Qk - 2 17,2024-09-27 19:28:14.933583+00,1,0,0,
6244,h6f8,1rb1kb1r/pp1p1p1p/3PN3/2n1p3/2P3PP/p1N4R/2QP1P2/R1B1KB2 w Qk - 3 18,2024-09-27 19:35:45.054765+00,1,0,0,
6245,d2d4,1rb1kb1r/pp1p1p1p/3PN3/2n1p3/2PP2PP/p1N4R/2Q2P2/R1B1KB2 b Qk - 0 18,2024-09-27 19:43:15.247085+00,1,0,0,
6246,c5e6,1rb1kb1r/pp1p1p1p/3Pn3/4p3/2PP2PP/p1N4R/2Q2P2/R1B1KB2 w Qk - 0 19,2024-09-27 19:50:45.264073+00,1,0,0,
6247,a1a2,1rb1kb1r/pp1p1p1p/3Pn3/4p3/2PP2PP/p1N4R/R1Q2P2/2B1KB2 b k - 1 19,2024-09-27 19:58:15.509688+00,1,0,0,
6248,f8g7,1rb1k2r/pp1p1pbp/3Pn3/4p3/2PP2PP/p1N4R/R1Q2P2/2B1KB2 w k - 2 20,2024-09-27 20:05:45.636163+00,1,0,0,
6249,f2f4,1rb1k2r/pp1p1pbp/3Pn3/4p3/2PP1PPP/p1N4R/R1Q5/2B1KB2 b k - 0 20,2024-09-27 20:13:15.793185+00,1,0,0,
6250,g7f6,1rb1k2r/pp1p1p1p/3Pnb2/4p3/2PP1PPP/p1N4R/R1Q5/2B1KB2 w k - 1 21,2024-09-27 20:20:45.938198+00,1,0,0,
6251,c2f2,1rb1k2r/pp1p1p1p/3Pnb2/4p3/2PP1PPP/p1N4R/R4Q2/2B1KB2 b k - 2 21,2024-09-27 20:28:16.058694+00,1,0,0,
