id,instant,player_pseudo,turn_id,move,accuracy,points
1401,2024-09-27 11:13:32.426561+00,Lucius Orphelin,6178,c2c3,1,239
1402,2024-09-27 11:13:45.530117+00,Ludovic Instable,6178,c2c3,1,199
1403,2024-09-27 11:14:55.856364+00,Montague Dévoué,6178,b1c3,1,239
1404,2024-09-27 11:15:22.047822+00,Delphinia Anxieuse,6178,c2c3,1,170
1405,2024-09-27 11:16:10.165772+00,Lucius Orphelin,6178,b1c3,1,199
1406,2024-09-27 11:19:23.430979+00,Yorick Monstrueux,6178,e1e7,0.60130036,185
1407,2024-09-27 11:21:18.847179+00,Valentin Nocturne,6179,b4c5,1,304
1408,2024-09-27 11:23:46.403335+00,Nathaniel Acharné,6179,a8h8,0.95079994,289
1409,2024-09-27 11:24:22.348029+00,Zorina Nébuleuse,6179,b4c5,1,235
1410,2024-09-27 11:24:23.13549+00,Amara Calculatrice,6179,a8h8,0.95079994,223
1411,2024-09-27 11:28:16.907708+00,Endora Orpheline,6180,d3d4,1,309
1412,2024-09-27 11:28:58.633969+00,Ludovic Instable,6180,h8f7,1,309
1413,2024-09-27 11:29:10.417634+00,Valerian Prédateur,6180,h2h3,0.91953677,284
1414,2024-09-27 11:29:11.712726+00,Yorick Monstrueux,6180,d2f4,0.27689084,85
1415,2024-09-27 11:29:13.917497+00,Montague Dévoué,6180,d3d4,1,239
1416,2024-09-27 11:29:36.697684+00,Lucius Orphelin,6180,d3d4,1,199
1417,2024-09-27 11:30:28.069583+00,Lucius Orphelin,6180,c4d5,1,309
1418,2024-09-27 11:30:58.056521+00,Lucius Orphelin,6180,d3d4,1,199
1419,2024-09-27 11:37:03.259486+00,Valentin Nocturne,6181,c5d6,0.9652602,293
1420,2024-09-27 11:37:16.961364+00,Valentin Nocturne,6181,f6e4,0.7568199,230
1421,2024-09-27 11:37:20.109906+00,Nathaniel Acharné,6181,a8h8,0.931858,283
1422,2024-09-27 11:38:43.760851+00,Amara Calculatrice,6181,a8h8,0.931858,219
1423,2024-09-27 11:38:48.078006+00,Valentin Nocturne,6181,a8h8,0.931858,181
1424,2024-09-27 11:43:39.699041+00,Ptolemy Énigmatique,6182,b2b4,0.8149432,251
1425,2024-09-27 11:44:09.33076+00,Lucius Orphelin,6182,d4c5,1,309
1426,2024-09-27 11:44:23.359987+00,Endora Orpheline,6182,d4c5,1,239
1427,2024-09-27 11:44:33.801839+00,Valerian Prédateur,6182,d2g5,0.9497442,293
1428,2024-09-27 11:44:51.432982+00,Ptolemy Énigmatique,6182,d2g5,0.9497442,227
1429,2024-09-27 11:45:41.417688+00,Montague Dévoué,6182,d4c5,1,199
1430,2024-09-27 11:45:58.012924+00,Delphinia Anxieuse,6182,d4c5,1,170
1431,2024-09-27 11:46:03.034797+00,Ludovic Instable,6182,e1e5,0.80662507,249
1432,2024-09-27 11:50:50.167491+00,Nathaniel Acharné,6183,b6c5,1,304
1433,2024-09-27 11:51:52.276499+00,Valentin Nocturne,6183,b6c5,1,235
1434,2024-09-27 11:52:04.206483+00,Amara Calculatrice,6183,b6c5,1,194
